"","x"
"3",2.9116908893778
"12",2.0522142691196
"13",2.33041236659781
"16",2.84541816300785
"21",1.82429772919514
"22",1.78904842724445
"26",2.24603149447737
"28",3.25414542774328
"30",3.16258191952066
"49",1.99241696154274
"54",2.33657274983234
"59",2.08378359563206
"64",2.11158006924515
"68",2.27884976738143
"69",1.92948805026733
"72",3.28059518834821
"74",1.6597524566664
"79",2.39131792986469
"81",1.90421078248877
"84",1.99272475911909
"89",1.75328482087565
"95",2.10261642567948
"104",2.77515562949208
"107",1.92946653570354
"111",2.72564428969133
"112",2.83850257301787
"123",2.18782223463992
"144",2.95984435646765
"145",3.20528260001625
"146",2.29333952097175
"152",2.11726604776757
"153",2.00964797387222
"161",2.31035996243046
"166",2.08401714294647
"169",2.93928242410847
"170",2.77742652419843
"198",2.06644080365367
"201",2.81078229804203
"212",2.93611468215014
"215",2.33306702142618
"225",2.94878459606103
"226",1.56294815849208
"230",2.97402860184331
"231",1.99533781917092
"232",1.8591228078181
"235",2.0962230228014
"241",2.25384549897581
"269",2.17931414215714
"275",2.00377821996006
"276",3.16843398968337
"280",2.73919094696468
"281",2.90178717558315
"282",2.26483121488106
"287",2.43342991653545
"294",2.90008755140299
"310",2.12960194873552
"343",3.22126065955002
"353",1.80754984641779
"378",2.04514956989571
"381",2.59639110451738
"383",2.49844061882115
"403",3.13426539374875
"407",2.12263946859766
"408",1.94180535577696
"412",2.15981383187205
"417",3.0843275763628
"428",2.83041166145518
"432",2.9194296905822
"446",2.8632482523205
"448",2.22293748312087
"455",1.72996837858788
"464",1.76907289365682
"471",2.21322268586688
"475",1.88405695207356
"485",2.98240674068685
"491",2.29219806702862
"498",2.42480776021086
"499",2.36289010117818
"500",2.36740736030813
"501",2.95686416330403
"508",2.27925395567487
"510",3.02404592731743
"521",3.08810702304316
"529",2.69503230958613
"549",1.87740604593651
"558",1.99034719032109
"559",3.15814701497143
"567",2.98762555159321
"577",2.81251775536403
"580",2.5922434487079
"582",2.81017804108448
"585",1.91236948699535
"588",2.35984255225615
"595",2.89830786193281
"599",1.9210832946305
"601",3.25264242847308
"608",1.9372519052067
"611",3.26520042203272
"624",2.18825687656451
"625",1.94066266253786
"626",3.02992083814064
"627",1.92819473284995
"628",3.04025247405132
"630",2.23538365867004
"631",3.02898038155055
"632",2.06548965796983
"635",1.60597376982285
"636",3.06341150235934
"637",1.80623303724123
"640",1.74010973465335
"645",1.96777627076784
"647",1.92476166726343
"648",2.76259897604974
"654",2.37823280637169
"657",2.6091464457968
"659",2.04361483515427
"664",2.12456980002339
"667",2.20526863563159
"668",2.00788132577834
"673",2.00044012508
"677",3.17323201734743
"678",1.6861289385246
"683",2.06456104596466
"693",2.0450814671906
"705",2.14507004476974
"715",2.34555001326167
"717",2.6603461576128
"719",2.68535099655056
"721",2.97140345603199
"731",3.21790404872586
"733",2.71040543846063
"736",2.191542081021
"752",2.09620543622942
"755",1.80837460075741
"770",2.08885172509567
"775",1.80958307708247
"776",3.29945219661301
"779",2.30642266081083
"789",3.29810230875922
"791",2.88661016759296
"792",3.20354739740019
"793",2.99112851423611
"797",2.73155442484941
"798",3.02045081433974
"801",2.21120460514871
"802",2.91565727152924
"803",2.89346244101674
"806",2.56015684906271
"807",2.97088464721077
"808",2.75417151334351
"816",2.38756931833323
"817",1.84011935190942
"824",2.82334284206608
"826",2.51019106092762
"828",2.87320107550051
"829",1.98743665453182
"830",3.12211562428353
"831",1.92661377866863
"832",2.14443063545519
"841",2.0114468425493
"849",2.19224635015465
"854",2.26812641804788
"855",3.03312114858439
"858",2.20838752440851
"865",2.11392523117725
"872",2.79515850928365
"873",2.95575937287913
"882",2.83959913108715
"885",3.0929539842276
"889",2.12627012504089
"892",1.8373451496746
"896",2.06285203552089
"908",1.91805779315557
"910",2.68400834789524
"915",2.5046023679899
"921",2.12448652496061
"925",1.79518754977553
"929",2.31077259297123
"930",2.13093011225476
"936",2.00297618665401
"944",2.97859831119142
"959",2.93093282521052
"961",2.82000896836046
"964",2.03598077580153
"968",2.59467252275898
"980",2.10229320485367
"992",2.06770304699164
"993",2.83498930501641
"998",3.08587307421151
"999",3.14712458486425
"1008",2.58463567207504
"1022",2.79255785090565
"1031",2.97885120337122
"1036",2.95802120039618
"1049",3.1147756567968
"1059",2.85296997401527
"1064",2.19416810430734
"1070",2.86519132619467
"1072",3.2589965360719
"1075",3.13748449267188
"1077",3.27791425721447
"1080",3.04458481786629
"1089",2.89357027362277
"1092",2.71037220929033
"1094",2.98532454951813
"1098",1.95893186379981
"1099",2.10959327975062
"1105",2.0924656024148
"1109",2.89615442429011
"1111",2.3666948144915
"1113",2.03740316254719
"1115",2.0372794476869
"1116",2.06938712421567
"1127",2.21306903555751
"1140",3.14953025561021
"1144",2.9573091422951
"1146",2.06430516195789
"1175",1.96657575307267
"1180",3.29516683834765
"1191",1.88951975255006
"1203",2.87184614486894
